Airport (IATA),Airport (Name),Airport (City),Country (Name),Latitude,Longitude
04G,Lansdowne Airport,Youngstown,United States,41.1304722,-80.6195833
06A,Moton Field Municipal Airport,Tuskegee,United States,32.4605722,-85.6800278
06C,Schaumburg Regional,Schaumburg,United States,41.9893408,-88.1012428
06N,Randall Airport,Middletown,United States,41.431912,-74.3915611
09J,Jekyll Island Airport,Jekyll Island,United States,31.0744722,-81.4277778
0A9,Elizabethton Municipal Airport,Elizabethton,United States,36.3712222,-82.1734167
0G6,Williams County Airport,Bryan,United States,41.4673056,-84.5067778
0G7,Finger Lakes Regional Airport,Seneca Falls,United States,42.8835647,-76.7812318
0P2,Shoestring Aviation Airfield,Stewartstown,United States,39.7948244,-76.6471914
0S9,Jefferson County Intl,Port Townsend,United States,48.0538086,-122.8106436
0W3,Harford County Airport,Churchville,United States,39.5668378,-76.2024028
10C,Galt Field Airport,Greenwood,United States,42.4028889,-88.3751111
17G,Port Bucyrus-Crawford County Airport,Bucyrus,United States,40.7815556,-82.9748056
19A,Jackson County Airport,Jefferson,United States,34.1758638,-83.5615972
1A3,Martin Campbell Field Airport,Copperhead,United States,35.0158056,-84.3468333
1B9,Mansfield Municipal,Mansfield,United States,42.0001331,-71.1967714
1C9,Frazier Lake Airpark,Hollister,United States,54.01333333,-124.7683333
1CS,Clow International Airport,Bolingbrook,United States,41.6959744,-88.1292306
1G3,Kent State Airport,Kent,United States,41.1513889,-81.4151111
1OH,Fortman Airport,St. Marys,United States,40.5553253,-84.3866186
1RL,Point Roberts Airpark,Point Roberts,United States,48.9797222,-123.0788889
24C,Lowell City Airport,Lowell,United States,42.95392,-85.3439058
24J,Suwannee County Airport,Live Oak,United States,30.300125,-83.0246944
25D,Forest Lake Airport,Forest Lake,United States,45.2477456,-92.9943853
29D,Grove City Airport,Grove City,United States,41.1460278,-80.16775
2A0,Mark Anton Airport,Dayton,United States,35.48625,-84.9310833
2G2,Jefferson County Airpark,Steubenville,United States,40.3602179,-80.7008742
2G9,Somerset County Airport,Somerset,United States,40.0388708,-79.0149951
2J9,Quincy Municipal Airport,Quincy,United States,30.5978708,-84.557425
36U,Heber City Municipal Airport,Heber,United States,40.4818056,-111.4288056
38W,Lynden Airport,Lynden,United States,48.9558961,-122.4581183
3D2,Ephraim-Gibraltar Airport,Ephraim,United States,45.1354167,-87.1879444
3G3,Wadsworth Municipal,Wadsworth,United States,41.0031572,-81.7564401
3G4,Ashland County Airport,Ashland,United States,40.9029722,-82.2556389
3J1,Ridgeland Airport,Ridgeland,United States,32.4934167,-80.99175
3W2,Put-in-Bay Airport,Put-in-Bay,United States,41.3521,-82.497
40J,Perry-Foley Airport,Perry,United States,30.0692778,-83.5805833
41N,Braceville Airport,Braceville,United States,41.2111675,-80.9692572
47A,Cherokee County Airport,Canton,United States,34.3122175,-84.4221556
49A,Gilmer County Airport,Ellijay,United States,34.6282222,-84.5265833
49X,Chemehuevi Valley,Chemehuevi Valley,United States,34.528889,-114.431971
4A4,Polk County Airport - Cornelius Moore Field,Cedartown,United States,34.0186944,-85.1464722
4A7,Clayton County Tara Field,Hampton,United States,33.389099,-84.332397
4A9,Isbell Field Airport,Fort Payne,United States,34.4736944,-85.7213889
4B8,Robertson Field,Plainville,United States,41.6893333,-72.8646944
4G0,Pittsburgh-Monroeville Airport,Monroeville,United States,40.4526389,-79.7749167
4G2,Hamburg Inc Airport,Hamburg,United States,42.7008925,-78.9147569
4G4,Youngstown Elser Metro Airport,Youngstown,United States,40.9617953,-80.6773264
4I7,Putnam County Airport,Greencastle,United States,39.6335556,-86.8138056
4U9,Dell Flight Strip,Dell,United States,44.7357483,-112.7200133
52A,Madison GA Municipal Airport,Madison,United States,33.612125,-83.4604444
54J,DeFuniak Springs Airport,DeFuniak Springs,United States,30.7311111,-86.1537778
55J,Fernandina Beach Municipal Airport,Fernandina Beach,United States,30.6118333,-81.4611944
57C,East Troy Municipal Airport,East Troy,United States,42.7971667,-88.3726111
60J,Ocean Isle Beach Airport,Ocean Isle Beach,United States,33.9085056,-78.4366722
6A2,Griffin-Spalding County Airport,Griffin,United States,33.2269722,-84.2749444
6K8,Tok Junction Airport,Tok,United States,63.329444,-142.953611
6S0,Big Timber Airport,Big Timber,United States,45.8063889,-109.9811111
6S2,Florence,Florence,United States,43.9828168,-124.1113687
6Y8,Welke Airport,Beaver Island,United States,45.721111,-85.520278
70J,Cairo-Grady County Airport,Cairo,United States,30.8879767,-84.1547353
70N,Spring Hill Airport,Sterling,United States,41.3473569,-75.4158972
7A4,Foster Field,Apple River,United States,42.4664444,-90.1693889
7D9,Germack Airport,Geneva,United States,41.7778322,-80.9039797
7N7,Spitfire Aerodrome,Pedricktown,United States,39.7355633,-75.3977211
8M8,Garland Airport,Lewiston,United States,44.8065278,-84.2761944
93C,Richland Airport,Richland Center,United States,43.2833575,-90.2982819
99N,Bamberg County Airport,Bamberg,United States,33.3045278,-81.1084167
9A1,Covington Municipal Airport,Covington,United States,33.6323083,-83.8474472
9A5,Barwick Lafayette Airport,LaFayette,United States,34.6884792,-85.2903319
A39,Phoenix Regional Airport,Phoenix,United States,32.99169922,-111.9209976
AAF,Apalachicola Regional Airport,Apalachicola,United States,29.7276066,-85.0274416
ABE,Lehigh Valley Intl,Allentown,United States,40.652083,-75.440806
ABI,Abilene Rgnl,Abilene,United States,32.411319,-99.681897
